"Dataset Name","Observation Date","Series Key","Series Display Name","Observation Value","Unit","Observation Status","Observation Status Comment","Sequence No.","Series name"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","25.4","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.6","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.8","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.26","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","58.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","68.2","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","67.7","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2020","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","68.7","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","26.1","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.7","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.9","Percent","Normal","","30","Population Growth rate(%)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0400",". Total Fertility Rate (per Woman)","3.3","Number","Normal","","40","Total Fertility Rate (per Woman)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0500",". Infant Mortality Rate (Per Thousand Children)","59.5","Number","Normal","","50","Infant Mortality Rate (Per Thousand Children)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0600",". Life Expectancy (Both Sexes)","67.5","Number","Normal","","60","Life Expectancy (Both Sexes)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0700",". Life Expectancy (Male)","66.5","Number","Normal","","70","Life Expectancy (Male)"
"Health Indicators of Pakistan","31-Dec-2019","TS_GP_RL_HLTHIND_Y.HIPAK0800",". Life Expectancy (Female)","68.4","Number","Normal","","80","Life Expectancy (Female)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0100",". Crude Birth Rate (Per Thousand Persons)","26.7","Number","Normal","","10","Crude Birth Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0200",". Crude Death Rate (Per Thousand Persons)","6.8","Number","Normal","","20","Crude Death Rate (Per Thousand Persons)"
"Health Indicators of Pakistan","31-Dec-2018","TS_GP_RL_HLTHIND_Y.HIPAK0300",". Population Growth rate(%)","1.99","Percent","Normal","","30","Population Growth rate(%)"
